Date ,Time,Direction,Type,Occupancy,Colour,Purpose
24/10/2023,10:15,Departure,Car,1,Black,Private
24/10/2023,10:15,Departure,Car,1,White,Private
24/10/2023,10:15,Departure,Car,1,White,Private
24/10/2023,10:15,Departure,Bus,1,Black,Public
24/10/2023,10:15,Departure,Car,1,White,Private
24/10/2023,10:15,Departure,Car,2,White,Private
24/10/2023,10:15,Departure,Car,1,Red,Private
24/10/2023,10:15,Departure,Van,1,Blue,Cargo
24/10/2023,10:15,Departure,Car,2,Red,Private
24/10/2023,10:15,Departure,Taxi,1,Blue,Private
24/10/2023,10:20,Departure,Bus,10%,Green,Public
24/10/2023,10:20,Departure,Taxi,1,White,Private
24/10/2023,10:20,Departure,Car,1,Black,Private
24/10/2023,10:20,Departure,Car,2,Black,Private
24/10/2023,10:20,Departure,Car,1,Black,Private
24/10/2023,10:20,Departure,Bus,25%,Blue,Public
24/10/2023,10:20,Departure,Car,1,Red,Private
24/10/2023,10:20,Departure,Car,1,Black,Private
24/10/2023,10:20,Departure,Car,1,Black,Private
24/10/2023,10:20,Departure,Van,2,White,Cargo
24/10/2023,10:20,Departure,Car,1,Green,Private
24/10/2023,10:20,Departure,Car,1,White,Private
24/10/2023,10:20,Departure,Bus,10%,Green,Public
24/10/2023,10:25,Departure,Bus,10%,Blue,Public
24/10/2023,10:25,Departure,Car,1,Black,Private
24/10/2023,10:25,Departure,Car,1,White,Private
24/10/2023,10:25,Departure,Bicycle,1,Black,Private
24/10/2023,10:25,Departure,Car,1,White,Private
24/10/2023,10:25,Departure,Car,1,White,Private
24/10/2023,10:25,Departure,Bus,10%,Blue,Public
24/10/2023,10:25,Departure,Car,1,Black,Private
24/10/2023,10:25,Departure,Car,1,Red,Private
24/10/2023,10:25,Departure,Car,2,White,Private
24/10/2023,10:25,Departure,Car,1,Blue,Private
24/10/2023,10:25,Departure,Car,1,White,Private
24/10/2023,10:25,Departure,Car,1,Red,Private
24/10/2023,10:30,Departure,Car,2,Black,Private
24/10/2023,10:30,Departure,Car,3,White,Private
24/10/2023,10:30,Departure,Car,1,White,Private
24/10/2023,10:30,Departure,Bus,10%,Blue,Public
24/10/2023,10:30,Departure,Car,1,Black,Private
24/10/2023,10:30,Departure,Bus,10%,White,Public
24/10/2023,10:30,Departure,Car,1,White,Private
24/10/2023,10:30,Departure,Car,1,Black,Private
24/10/2023,10:30,Departure,Bicycle,1,White,Private
24/10/2023,10:30,Departure,Car,4,White,Private
24/10/2023,10:30,Departure,Car,1,Black,Private
24/10/2023,10:30,Departure,Bus,10%,Blue,Public
24/10/2023,10:30,Departure,Bus,10%,Green,Public
24/10/2023,10:30,Departure,Car,1,Red,Private
24/10/2023,10:30,Departure,Car,1,Black,Private
24/10/2023,10:35,Departure,Taxi,1,Black,Private
24/10/2023,10:35,Departure,Car,1,Black,Private
24/10/2023,10:35,Departure,Car,1,Blue,Private
24/10/2023,10:35,Departure,Car,2,Black,Private
24/10/2023,10:35,Departure,Car,1,Black,Private
24/10/2023,10:35,Departure,Car,1,White,Private
24/10/2023,10:35,Departure,Car,1,Blue,Private
24/10/2023,10:35,Departure,Van,1,Black,Private
24/10/2023,10:35,Departure,Taxi,1,Black,Private
24/10/2023,10:40,Departure,Bus,10%,Blue,Public
24/10/2023,10:40,Departure,Car,2,Black,Private
24/10/2023,10:40,Departure,Bus,10%,Blue,Public
24/10/2023,10:40,Departure,Car,1,Black,Private
24/10/2023,10:40,Departure,Car,1,Red,Private
24/10/2023,10:40,Departure,Car,1,White,Private
24/10/2023,10:40,Departure,Car,1,Red,Private
24/10/2023,10:45,Departure,Car,1,White,Private
24/10/2023,10:45,Departure,Car,1,Black,Private
24/10/2023,10:45,Departure,Car,2,Black,Private
24/10/2023,10:45,Departure,Taxi,1,Black,Private
24/10/2023,10:45,Departure,Car,1,Black,Private
24/10/2023,10:45,Departure,Taxi,1,Blue,Private
24/10/2023,10:45,Departure,Van,2,Black,Private
24/10/2023,10:45,Departure,Taxi,1,White,Private
24/10/2023,10:45,Departure,Bus,50%,Green,Public
24/10/2023,10:15,Arrive,Car,1,Blue,Private
24/10/2023,10:15,Arrive,Car,3,Black,Private
24/10/2023,10:15,Arrive,Car,2,Blue,Private
24/10/2023,10:15,Arrive,Bus,75%,Green,Public
24/10/2023,10:15,Arrive,Bus,75%,Green,Public
24/10/2023,10:15,Arrive,Car,2,Red,Private
24/10/2023,10:15,Arrive,Car,1,Red,Private
24/10/2023,10:15,Arrive,Car,2,Blue,Private
24/10/2023,10:15,Arrive,Car,3,Black,Private
24/10/2023,10:15,Arrive,Motorbike,1,Black,Private
24/10/2023,10:15,Arrive,Motorbike,1,Black,Private
24/10/2023,10:15,Arrive,Car,2,Black,Private
24/10/2023,10:15,Arrive,Car,2,Black,Private
24/10/2023,10:20,Arrive,Bus,100%,Blue,Public
24/10/2023,10:20,Arrive,Car,1,Black,Private
24/10/2023,10:20,Arrive,Van,1,Black,Private
24/10/2023,10:20,Arrive,Bus,75%,Blue,Public
24/10/2023,10:20,Arrive,Van,1,White,Cargo
24/10/2023,10:20,Arrive,Car,1,Black,Private
24/10/2023,10:20,Arrive,Bus,100%,Blue,Public
24/10/2023,10:20,Arrive,Bus,100%,Green,Public
24/10/2023,10:20,Arrive,Car,1,Black,Private
24/10/2023,10:20,Arrive,Bus,100%,Blue,Public
24/10/2023,10:20,Arrive,Car,2,Black,Private
24/10/2023,10:20,Arrive,Car,2,Green,Private
24/10/2023,10:20,Arrive,Car,2,White,Private
24/10/2023,10:20,Arrive,Car,2,White,Private
24/10/2023,10:20,Arrive,Car,2,White,Private
24/10/2023,10:20,Arrive,Car,1,Black,Private
24/10/2023,10:20,Arrive,Car,2,Black,Private
24/10/2023,10:20,Arrive,Car,2,Blue,Private
24/10/2023,10:20,Arrive,Car,1,White,Private
24/10/2023,10:20,Arrive,Car,1,Red,Private
24/10/2023,10:25,Arrive,Car,2,White,Private
24/10/2023,10:25,Arrive,Car,1,Blue,Private
24/10/2023,10:25,Arrive,Bicycle,1,Black,Private
24/10/2023,10:25,Arrive,Van,1,Black,Cargo
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Motorbike,1,Red,Private
24/10/2023,10:25,Arrive,Bicycle,1,Black,Private
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Car,4,Blue,Private
24/10/2023,10:25,Arrive,Car,2,Blue,Private
24/10/2023,10:25,Arrive,Car,1,Red,Private
24/10/2023,10:25,Arrive,Car,1,Black,Private
24/10/2023,10:25,Arrive,Car,2,White,Private
24/10/2023,10:25,Arrive,Van,2,White,Cargo
24/10/2023,10:25,Arrive,Taxi,2,Black,Private
24/10/2023,10:25,Arrive,Car,2,Red,Private
24/10/2023,10:25,Arrive,Car,1,White,Private
24/10/2023,10:30,Arrive,Car,1,Red,Private
24/10/2023,10:30,Arrive,Car,2,White,Private
24/10/2023,10:30,Arrive,Car,2,Black,Private
24/10/2023,10:30,Arrive,Car,2,White,Private
24/10/2023,10:30,Arrive,Bus,50%,Blue,Public
24/10/2023,10:30,Arrive,Car,2,Red,Private
24/10/2023,10:30,Arrive,Car,2,Green,Private
24/10/2023,10:30,Arrive,Van,1,White,Cargo
24/10/2023,10:30,Arrive,Car,1,Black,Private
24/10/2023,10:30,Arrive,Car,1,White,Private
24/10/2023,10:30,Arrive,Car,2,White,Private
24/10/2023,10:30,Arrive,Car,4,Blue,Private
24/10/2023,10:30,Arrive,Car,1,Black,Private
24/10/2023,10:30,Arrive,Car,1,Red,Private
24/10/2023,10:30,Arrive,Car,1,White,Private
24/10/2023,10:30,Arrive,Car,2,Red,Private
24/10/2023,10:30,Arrive,Car,1,Red,Private
24/10/2023,10:30,Arrive,Car,4,Green,Private
24/10/2023,10:30,Arrive,Motorbike,1,Red,Private
24/10/2023,10:30,Arrive,Car,2,White,Private
24/10/2023,10:30,Arrive,Car,4,White,Private
24/10/2023,10:30,Arrive,Car,1,Red,Private
24/10/2023,10:30,Arrive,Car,1,White,Private
24/10/2023,10:30,Arrive,Car,2,White,Private
24/10/2023,10:30,Arrive,Van,2,White,Cargo
24/10/2023,10:30,Arrive,Van,1,Black,Cargo
24/10/2023,10:30,Arrive,Van,1,White,Cargo
24/10/2023,10:30,Arrive,Car,1,Red,Private
24/10/2023,10:35,Arrive,Bus,50%,Green,Public
24/10/2023,10:35,Arrive,Bus,100%,Blue,Public
24/10/2023,10:35,Arrive,Van,1,White,Cargo
24/10/2023,10:35,Arrive,Bus,75%,Blue,Public
24/10/2023,10:35,Arrive,Car,1,Black,Private
24/10/2023,10:35,Arrive,Car,1,Black,Private
24/10/2023,10:35,Arrive,Car,1,White,Private
24/10/2023,10:35,Arrive,Car,3,Black,Private
24/10/2023,10:35,Arrive,Car,4,Black,Private
24/10/2023,10:35,Arrive,Taxi,3,White,Private
24/10/2023,10:35,Arrive,Car,3,White,Private
24/10/2023,10:35,Arrive,Taxi,3,Blue,Private
24/10/2023,10:35,Arrive,Motorbike,1,Blue,Private
24/10/2023,10:35,Arrive,Motorbike,1,Red,Private
24/10/2023,10:35,Arrive,Taxi,2,White,Private
24/10/2023,10:35,Arrive,Car,1,White,Private
24/10/2023,10:35,Arrive,Car,2,White,Private
24/10/2023,10:35,Arrive,Car,2,Blue,Private
24/10/2023,10:35,Arrive,Car,1,Green,Private
24/10/2023,10:35,Arrive,Taxi,3,Black,Private
24/10/2023,10:35,Arrive,Car,1,Green,Private
24/10/2023,10:35,Arrive,Car,3,Blue,Private
24/10/2023,10:35,Arrive,Car,2,Blue,Private
24/10/2023,10:40,Arrive,Car,3,Black,Private
24/10/2023,10:40,Arrive,Car,1,Red,Private
24/10/2023,10:40,Arrive,Bicycle,1,Blue,Private
24/10/2023,10:40,Arrive,Car,1,Green,Private
24/10/2023,10:40,Arrive,Car,1,Red,Private
24/10/2023,10:40,Arrive,Car,1,Blue,Private
24/10/2023,10:40,Arrive,Taxi,2,White,Private
24/10/2023,10:40,Arrive,Car,1,White,Private
24/10/2023,10:40,Arrive,Car,2,Blue,Private
24/10/2023,10:40,Arrive,Car,1,Red,Private
24/10/2023,10:40,Arrive,Car,2,Black,Private
24/10/2023,10:40,Arrive,Car,3,Blue,Private
24/10/2023,10:40,Arrive,Car,1,White,Private
24/10/2023,10:40,Arrive,Car,1,Yellow,Private
24/10/2023,10:40,Arrive,Van,2,White,Cargo
24/10/2023,10:40,Arrive,Van,2,White,Cargo
24/10/2023,10:40,Arrive,Car,1,Red,Private
24/10/2023,10:40,Arrive,Car,1,Green,Private
24/10/2023,10:40,Arrive,Bus,75%,Blue,Public
24/10/2023,10:45,Arrive,Car,1,Green,Private
24/10/2023,10:45,Arrive,Car,1,White,Private
24/10/2023,10:45,Arrive,Car,1,Red,Private
24/10/2023,10:45,Arrive,Van,1,Black,Cargo
24/10/2023,10:45,Arrive,Car,1,White,Private
24/10/2023,10:45,Arrive,Car,1,White,Private
24/10/2023,10:45,Arrive,Car,2,White,Private
24/10/2023,10:45,Arrive,Car,2,Black,Private
24/10/2023,10:45,Arrive,Car,1,Black,Private
24/10/2023,10:45,Arrive,Car,2,White,Private
24/10/2023,10:45,Arrive,Car,3,Blue,Private
24/10/2023,10:45,Arrive,Car,2,White,Private
24/10/2023,10:45,Arrive,Car,2,Black,Private
24/10/2023,10:45,Arrive,Bus,100%,Green,Public
24/10/2023,10:45,Arrive,Car,1,Blue,Private
24/10/2023,10:45,Arrive,Car,2,White,Private
24/10/2023,10:45,Arrive,Car,1,Blue,Private
24/10/2023,10:45,Arrive,Car,3,Blue,Private